product_id,sku,product_name,category,brand,base_price,cost_price,weight_kg,dimensions_cm,supplier,status,created_date
1,HEA00001,HomeBase Fragrance 001,Health & Beauty,HomeBase,36.69,21.84,0.66,38.9x47.5x5.0,Premium Products Ltd,active,2025-03-08 14:26:59.420032
2,BOO00002,SportMax Game 002,Books & Media,SportMax,19.31,9.94,9.83,28.7x44.4x22.0,Global Supplies Inc,active,2025-10-19 14:26:59.420112
3,HOM00003,BookWorld Decor 003,Home & Garden,BookWorld,95.08,49.18,1.9,40.2x27.0x10.2,Premium Products Ltd,active,2025-07-09 14:26:59.420181
4,CLO00004,StyleCo Jacket 004,Clothing,StyleCo,136.33,70.43,2.79,43.1x24.3x12.0,Premium Products Ltd,active,2025-08-12 14:26:59.420253
5,HEA00005,SportMax Skincare 005,Health & Beauty,SportMax,61.24,35.63,9.27,36.0x46.6x26.3,Premium Products Ltd,active,2025-11-29 14:26:59.420321
6,HEA00006,HealthPlus Fragrance 006,Health & Beauty,HealthPlus,64.45,40.69,4.99,30.9x27.1x5.6,ValueMart Distributors,active,2025-05-30 14:26:59.420384
7,ELE00007,HomeBase Speaker 007,Electronics,HomeBase,278.86,125.03,9.3,42.3x35.3x26.8,Premium Products Ltd,active,2025-04-05 14:26:59.420446
8,BOO00008,FreshMart Movie 008,Books & Media,FreshMart,10.02,4.5,5.39,29.4x37.7x11.7,FastShip Logistics,active,2025-10-12 14:26:59.420508
9,TOY00009,TechPro Electronic Toy 009,Toys & Games,TechPro,18.14,10.57,5.08,12.1x21.1x27.7,FastShip Logistics,active,2025-11-24 14:26:59.420570
10,HOM00010,StyleCo Plant 010,Home & Garden,StyleCo,246.85,157.86,1.59,30.3x37.8x26.5,Premium Products Ltd,active,2025-08-22 14:26:59.420632
11,HOM00011,PlayFun Plant 011,Home & Garden,PlayFun,256.18,155.95,2.36,17.0x49.3x17.9,Global Supplies Inc,active,2025-03-18 14:26:59.420694
12,BOO00012,HomeBase Magazine 012,Books & Media,HomeBase,45.88,27.19,0.93,16.5x45.9x20.2,FastShip Logistics,active,2025-10-09 14:26:59.420755
13,ELE00013,SportMax Laptop 013,Electronics,SportMax,122.36,76.35,6.53,44.0x36.3x19.2,Premium Products Ltd,active,2025-12-25 14:26:59.420815
14,BOO00014,BookWorld Magazine 014,Books & Media,BookWorld,36.76,20.21,5.76,40.7x11.7x29.9,ValueMart Distributors,active,2026-01-10 14:26:59.420874
15,FOO00015,HomeBase Snack 015,Food & Beverages,HomeBase,14.71,7.07,4.9,24.9x25.8x26.1,FastShip Logistics,active,2025-04-11 14:26:59.420934
16,CLO00016,PlayFun Pants 016,Clothing,PlayFun,58.39,30.71,2.64,34.5x13.3x5.1,Premium Products Ltd,active,2025-03-01 14:26:59.420993
17,TOY00017,PlayFun Electronic Toy 017,Toys & Games,PlayFun,98.46,64.16,8.62,20.0x11.6x12.6,FastShip Logistics,active,2025-04-27 14:26:59.421053
18,SPO00018,HomeBase Accessory 018,Sports & Outdoors,HomeBase,96.99,67.0,7.17,11.6x26.0x15.8,Quality Goods Co,active,2025-06-01 14:26:59.421112
19,CLO00019,SportMax Shirt 019,Clothing,SportMax,27.57,16.3,5.22,36.3x27.4x23.3,FastShip Logistics,active,2025-08-25 14:26:59.421171
20,FOO00020,SportMax Snack 020,Food & Beverages,SportMax,4.17,2.67,3.53,28.6x36.0x6.2,ValueMart Distributors,active,2025-07-20 14:26:59.421235
21,HEA00021,StyleCo Makeup 021,Health & Beauty,StyleCo,76.38,45.13,8.03,37.1x32.9x8.2,ValueMart Distributors,active,2025-10-07 14:26:59.421296
22,HOM00022,FreshMart Furniture 022,Home & Garden,FreshMart,48.73,20.53,3.26,43.8x10.9x25.4,Global Supplies Inc,active,2025-03-08 14:26:59.421357
23,SPO00023,StyleCo Gear 023,Sports & Outdoors,StyleCo,120.9,74.89,1.36,20.0x33.2x26.7,ValueMart Distributors,active,2025-07-17 14:26:59.421418
24,SPO00024,HealthPlus Equipment 024,Sports & Outdoors,HealthPlus,93.18,64.07,8.49,24.2x48.3x21.9,Premium Products Ltd,active,2025-08-25 14:26:59.421478
25,SPO00025,SportMax Footwear 025,Sports & Outdoors,SportMax,161.73,113.01,0.65,39.5x31.8x22.6,Premium Products Ltd,active,2025-05-08 14:26:59.421537
26,BOO00026,HealthPlus Magazine 026,Books & Media,HealthPlus,19.33,12.84,2.44,46.3x33.7x13.8,Premium Products Ltd,active,2025-07-18 14:26:59.421601
27,HEA00027,FreshMart Makeup 027,Health & Beauty,FreshMart,22.72,13.51,7.49,33.3x48.5x14.4,Global Supplies Inc,active,2025-09-21 14:26:59.421660
28,BOO00028,StyleCo Game 028,Books & Media,StyleCo,46.76,19.76,1.75,18.7x21.8x29.9,FastShip Logistics,active,2026-01-04 14:26:59.421718
29,CLO00029,PlayFun Jacket 029,Clothing,PlayFun,63.64,30.42,4.59,11.3x21.2x15.3,ValueMart Distributors,active,2025-12-01 14:26:59.421777
